input,output,width,height,size_kb,threshold,radius,padding,error
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\en\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\en\audio.png,350,75,32.6,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\en\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\en\information.png,350,74,34.1,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\en\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\en\metadata.png,350,73,33.2,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\en\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\en\release.png,350,80,34.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\en\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\en\subtitles.png,350,73,33.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\en\synopsis.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\en\synopsis.png,350,77,34.4,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\en\technical.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\en\technical.png,350,65,31.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\es\audio.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\es\audio.png,350,76,34.9,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\es\information.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\es\information.png,350,68,31.7,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\es\metadata.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\es\metadata.png,350,67,30.8,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\es\release.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\es\release.png,350,80,34.3,50,0.5,8,
C:\Users\Phenom\Desktop\Bannières prez\banners\astro-gradient\es\subtitles.png,C:\Users\Phenom\Desktop\Bannières prez\banners_clean\astro-gradient\es\subtitles.png,350,74,33.3,50,0.5,8,
